Feature,SHAP_Value
num__AMT_ANNUITY,0.11181527169856728
num__AMT_CREDIT,0.06855089134570427
num__ANNUITY_INCOME_RATIO,0.03131465669717185
num__CREDIT_INCOME_RATIO,0.025653112876854605
num__OBS_60_CNT_SOCIAL_CIRCLE,0.02468420151032068
cat__FLAG_OWN_CAR_N,0.017967548682112713
num__DAYS_BIRTH,0.016540887898518885
num__ENTRANCES_MODE,0.01590638621981885
cat__FLAG_OWN_REALTY_Y,0.013665132969818913
num__AMT_INCOME_TOTAL,0.008219317737262184
num__YEARS_BEGINEXPLUATATION_AVG,0.007537461653882584
num__AGE,0.006625069793481818
num__SK_ID_CURR,0.006571301936462195
num__FLOORSMAX_MODE,0.005659276659326339
num__LANDAREA_MODE,0.005398185499079315
num__YEARS_BEGINEXPLUATATION_MODE,0.005143078433990876
cat__NAME_CONTRACT_TYPE_Cash loans,0.0034776834577842073
num__COMMONAREA_AVG,0.003417874396547591
num__BASEMENTAREA_AVG,0.0016131308361157256
cat__ORGANIZATION_TYPE_Military,0.0010410284966844174
num__NONLIVINGAREA_MEDI,0.0005656649142233835
num__BASEMENTAREA_MODE,0.00048640254128524583
num__TOTALAREA_MODE,0.0004691853447619442
"cat__NAME_TYPE_SUITE_Spouse, partner",0.00046141243064937534
num__FLAG_DOCUMENT_16,0.0004288449021152284
num__NONLIVINGAPARTMENTS_MODE,0.0003378643833676111
num__YEARS_BEGINEXPLUATATION_MEDI,0.00031430721451779453
num__APARTMENTS_AVG,0.0002977311100089309
num__ELEVATORS_MEDI,0.00029418506888960743
num__FLAG_DOCUMENT_13,0.0002594265286598865
cat__ORGANIZATION_TYPE_Kindergarten,0.00024255936745265703
cat__ORGANIZATION_TYPE_Trade: type 2,0.00023206010089571154
num__COMMONAREA_MODE,0.00022018598031521143
num__FLAG_DOCUMENT_18,0.0002142262100428076
cat__ORGANIZATION_TYPE_Industry: type 9,0.0002038331663365469
num__LANDAREA_AVG,0.0001041914664788183
cat__NAME_EDUCATION_TYPE_Academic degree,5.2564744981998746e-05
num__REG_REGION_NOT_WORK_REGION,4.346075932020675e-05
num__ENTRANCES_AVG,3.1663232796955586e-05
cat__ORGANIZATION_TYPE_Government,3.0339069050488596e-05
cat__ORGANIZATION_TYPE_Business Entity Type 1,2.5921517583995897e-05
cat__ORGANIZATION_TYPE_Security Ministries,2.587160531506512e-05
num__YEARS_BUILD_MEDI,2.4385794087866224e-05
cat__ORGANIZATION_TYPE_Police,2.0757116708765622e-05
cat__WALLSMATERIAL_MODE_Block,1.9077429708327962e-05
num__FLAG_DOCUMENT_14,1.7154706581865654e-05
num__LIVE_REGION_NOT_WORK_REGION,6.951238233113002e-06
cat__ORGANIZATION_TYPE_Transport: type 4,5.594755263021352e-06
num__FLAG_MOBIL,0.0
num__FLAG_EMP_PHONE,0.0
num__FLAG_DOCUMENT_4,0.0
num__FLAG_DOCUMENT_2,0.0
cat__NAME_TYPE_SUITE_Group of people,0.0
cat__CODE_GENDER_XNA,0.0
num__FLAG_DOCUMENT_21,0.0
num__FLAG_DOCUMENT_19,0.0
num__FLAG_DOCUMENT_20,0.0
num__FLAG_DOCUMENT_17,0.0
cat__ORGANIZATION_TYPE_Industry: type 5,0.0
cat__ORGANIZATION_TYPE_Religion,0.0
cat__ORGANIZATION_TYPE_Medicine,0.0
cat__ORGANIZATION_TYPE_Industry: type 8,0.0
cat__NAME_FAMILY_STATUS_Unknown,0.0
cat__OCCUPATION_TYPE_IT staff,0.0
cat__ORGANIZATION_TYPE_Electricity,0.0
cat__OCCUPATION_TYPE_Cooking staff,0.0
cat__NAME_INCOME_TYPE_Pensioner,0.0
