Feature,Mean_SHAP
num__EXT_SOURCE_3,0.45675866361101425
num__EXT_SOURCE_2,0.33744201754393993
cat__NAME_FAMILY_STATUS_Married,0.31336998871445326
num__FLAG_PHONE,0.254027994068246
cat__CODE_GENDER_F,0.250344628672901
cat__WALLSMATERIAL_MODE_Panel,0.23549134976557057
cat__CODE_GENDER_M,0.23503182326705258
cat__FLAG_OWN_CAR_N,0.21473173592338873
num__REGION_RATING_CLIENT_W_CITY,0.20178891497450768
num__AMT_REQ_CREDIT_BUREAU_YEAR,0.1776865922315005
cat__NAME_INCOME_TYPE_Working,0.1682268119619687
cat__NAME_EDUCATION_TYPE_Secondary / secondary special,0.14982313725380586
num__DEF_30_CNT_SOCIAL_CIRCLE,0.14735379191474507
num__CREDIT_ANNUITY_RATIO,0.14404472163468232
num__EXT_SOURCE_1,0.13444766436508163
num__FLAG_DOCUMENT_3,0.1310682941651612
cat__FLAG_OWN_CAR_Y,0.12751590706463822
num__REG_CITY_NOT_WORK_CITY,0.12418825639484307
num__AMT_GOODS_PRICE,0.1236863457733086
num__OBS_30_CNT_SOCIAL_CIRCLE,0.12173269170264787
cat__NAME_EDUCATION_TYPE_Higher education,0.12141564449163121
num__FLAG_WORK_PHONE,0.11358595970807173
cat__ORGANIZATION_TYPE_Business Entity Type 3,0.11089608014388252
cat__ORGANIZATION_TYPE_Self-employed,0.10371827361108842
cat__OCCUPATION_TYPE_Laborers,0.09235142798818247
num__NONLIVINGAREA_MODE,0.08477997281503573
cat__FLAG_OWN_REALTY_N,0.08259341680729769
num__REG_CITY_NOT_LIVE_CITY,0.08027378660219774
num__AMT_ANNUITY,0.07492583346254188
num__CNT_CHILDREN,0.07417180555847765
cat__WEEKDAY_APPR_PROCESS_START_MONDAY,0.07364861771117905
num__DAYS_ID_PUBLISH,0.07302929683428877
cat__WEEKDAY_APPR_PROCESS_START_TUESDAY,0.06990840959802318
num__AMT_REQ_CREDIT_BUREAU_QRT,0.06983220863555839
cat__FLAG_OWN_REALTY_Y,0.06977577045394245
cat__NAME_TYPE_SUITE_Unaccompanied,0.06773873585546313
cat__WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.06725474864492302
num__DAYS_EMPLOYED,0.06711640418740361
num__DEF_60_CNT_SOCIAL_CIRCLE,0.05395372867135105
num__AMT_CREDIT,0.05132502205451929
num__OWN_CAR_AGE,0.04930978144743294
num__REGION_RATING_CLIENT,0.047903958958453965
"cat__WALLSMATERIAL_MODE_Stone, brick",0.044774378193794276
num__DAYS_BIRTH,0.04274689573467167
cat__NAME_FAMILY_STATUS_Single / not married,0.04142121098879188
cat__WEEKDAY_APPR_PROCESS_START_FRIDAY,0.04115991738133274
cat__WEEKDAY_APPR_PROCESS_START_SATURDAY,0.039189840240136484
cat__WEEKDAY_APPR_PROCESS_START_THURSDAY,0.03725892886001513
num__EMPLOYMENT_YEARS,0.036896029391514054
num__FLOORSMAX_MODE,0.035966387375538963
num__DAYS_LAST_PHONE_CHANGE,0.03590650518388172
num__ELEVATORS_MODE,0.03459988862727276
cat__NAME_HOUSING_TYPE_House / apartment,0.033569441839758955
num__ENTRANCES_MEDI,0.03187219667861295
num__FLAG_DOCUMENT_6,0.03006258858321423
num__AMT_REQ_CREDIT_BUREAU_MON,0.027610983794865835
cat__OCCUPATION_TYPE_Drivers,0.027444319918570128
num__CNT_FAM_MEMBERS,0.026440292104900797
num__ANNUITY_INCOME_RATIO,0.02641337466999847
num__REGION_POPULATION_RELATIVE,0.02529990165647481
cat__NAME_INCOME_TYPE_Commercial associate,0.025224211466468284
cat__NAME_CONTRACT_TYPE_Cash loans,0.02149832773902658
num__AGE,0.021147563345690207
cat__OCCUPATION_TYPE_Core staff,0.020204991998881063
num__ENTRANCES_MODE,0.019586420348660528
cat__ORGANIZATION_TYPE_Construction,0.01856183219987154
num__HOUR_APPR_PROCESS_START,0.018497511437984167
num__OBS_60_CNT_SOCIAL_CIRCLE,0.014491469390740676
cat__WEEKDAY_APPR_PROCESS_START_SUNDAY,0.011653840017351235
num__CREDIT_INCOME_RATIO,0.011622766571091157
num__FLOORSMAX_MEDI,0.011405675200809567
cat__NAME_INCOME_TYPE_State servant,0.009667436053754466
num__YEARS_BEGINEXPLUATATION_MODE,0.009586104898956989
num__DAYS_REGISTRATION,0.009562890902868718
cat__OCCUPATION_TYPE_Accountants,0.00846217789825248
cat__OCCUPATION_TYPE_Sales staff,0.008129463737744893
cat__NAME_EDUCATION_TYPE_Lower secondary,0.00796954440680512
num__FLOORSMAX_AVG,0.007439915662438244
num__AMT_INCOME_TOTAL,0.007348208040318197
cat__ORGANIZATION_TYPE_School,0.005445319922291318
num__SK_ID_CURR,0.0052682236363553415
num__AMT_REQ_CREDIT_BUREAU_WEEK,0.004996342571984519
cat__FONDKAPREMONT_MODE_reg oper account,0.004203728767048517
cat__OCCUPATION_TYPE_High skill tech staff,0.00400094260156003
cat__NAME_HOUSING_TYPE_With parents,0.003544189154906766
cat__ORGANIZATION_TYPE_Transport: type 3,0.0029688149700328246
num__LIVE_CITY_NOT_WORK_CITY,0.0029537549483141558
num__YEARS_BEGINEXPLUATATION_AVG,0.002860844304629398
num__NONLIVINGAREA_AVG,0.002714182908102632
cat__NAME_FAMILY_STATUS_Widow,0.0025358069797906065
cat__ORGANIZATION_TYPE_Military,0.0020110958503511056
num__LANDAREA_MODE,0.0019555445244419534
num__YEARS_BEGINEXPLUATATION_MEDI,0.0018606968126730307
cat__ORGANIZATION_TYPE_Industry: type 9,0.0018128249338285158
num__BASEMENTAREA_MODE,0.0017730062330767824
num__LANDAREA_AVG,0.0017041389397996177
num__TOTALAREA_MODE,0.0016482380458095777
num__BASEMENTAREA_AVG,0.001605214117342272
num__APARTMENTS_MODE,0.0015173143254117068
num__LIVINGAPARTMENTS_AVG,0.0014678580801735293
cat__OCCUPATION_TYPE_Low-skill Laborers,0.0014126636756324165
cat__NAME_CONTRACT_TYPE_Revolving loans,0.0014099758519575047
num__APARTMENTS_MEDI,0.001351488826994135
num__FLAG_DOCUMENT_8,0.001286264735826015
cat__NAME_HOUSING_TYPE_Municipal apartment,0.0012518017072173484
num__LIVINGAPARTMENTS_MEDI,0.001149158052009049
num__COMMONAREA_AVG,0.0011112994899683407
num__APARTMENTS_AVG,0.0011055283740535069
num__LIVINGAREA_MODE,0.0010866607589439423
num__YEARS_BUILD_MODE,0.0010046685615292764
num__COMMONAREA_MODE,0.0009924528384903449
num__BASEMENTAREA_MEDI,0.0009371493122859304
num__NONLIVINGAPARTMENTS_MODE,0.000910436934921886
cat__NAME_FAMILY_STATUS_Separated,0.0008863623291464396
num__NONLIVINGAREA_MEDI,0.0008782847558290634
num__FLAG_DOCUMENT_16,0.0008615245118791938
num__LIVINGAPARTMENTS_MODE,0.0008377211048799053
num__ELEVATORS_MEDI,0.000825404780995265
cat__NAME_HOUSING_TYPE_Office apartment,0.000812999055736536
num__YEARS_BUILD_AVG,0.00079783730064169
num__LIVINGAREA_MEDI,0.0007676112706750589
cat__ORGANIZATION_TYPE_Realtor,0.0007484969738301426
cat__OCCUPATION_TYPE_Managers,0.0007444657405141462
num__LIVINGAREA_AVG,0.0007230982820558423
num__NONLIVINGAPARTMENTS_MEDI,0.0007211441625380086
num__ENTRANCES_AVG,0.0007192703941594927
num__FLOORSMIN_MODE,0.0006723152993895423
cat__OCCUPATION_TYPE_Medicine staff,0.0006649348566101236
cat__ORGANIZATION_TYPE_Other,0.0006187258354635425
num__FLAG_DOCUMENT_18,0.000595997423354603
cat__ORGANIZATION_TYPE_Industry: type 3,0.0005812351032563301
cat__ORGANIZATION_TYPE_Business Entity Type 2,0.0005798585906874981
cat__ORGANIZATION_TYPE_Trade: type 2,0.0005675704803307266
num__FLOORSMIN_AVG,0.0005604125530010903
num__COMMONAREA_MEDI,0.0005104006965076467
cat__NAME_TYPE_SUITE_Children,0.0005051286189244875
num__FLAG_DOCUMENT_5,0.0004933796585886573
cat__ORGANIZATION_TYPE_Kindergarten,0.00047723778082349726
cat__NAME_HOUSING_TYPE_Rented apartment,0.00045279585619180894
cat__NAME_EDUCATION_TYPE_Academic degree,0.00044205487697140884
cat__NAME_FAMILY_STATUS_Civil marriage,0.0004383862069624607
cat__OCCUPATION_TYPE_Security staff,0.00043221704155533885
num__LANDAREA_MEDI,0.0003759184129111993
num__YEARS_BUILD_MEDI,0.0003664970976809968
cat__WALLSMATERIAL_MODE_Wooden,0.00036576881846169467
"cat__NAME_TYPE_SUITE_Spouse, partner",0.0003597792121829151
cat__FONDKAPREMONT_MODE_not specified,0.0002949589056420748
cat__ORGANIZATION_TYPE_Police,0.00029401246098604476
cat__OCCUPATION_TYPE_Cleaning staff,0.00027395526411882576
cat__NAME_TYPE_SUITE_Family,0.00027360402039540763
num__FLAG_DOCUMENT_13,0.000235648472574901
num__NONLIVINGAPARTMENTS_AVG,0.0002168013294574584
num__FLOORSMIN_MEDI,0.0002165670572588503
num__REG_REGION_NOT_WORK_REGION,0.00021001402176632774
num__AMT_REQ_CREDIT_BUREAU_DAY,0.00020049366028290685
cat__ORGANIZATION_TYPE_Legal Services,0.00019516148289126743
num__FLAG_CONT_MOBILE,0.0001928142882214829
cat__EMERGENCYSTATE_MODE_No,0.00016052772971509482
cat__ORGANIZATION_TYPE_Government,0.00015696534072893754
num__FLAG_DOCUMENT_14,0.0001562021536347607
cat__HOUSETYPE_MODE_specific housing,0.00014230057707372202
num__ELEVATORS_AVG,0.00011695695472383982
cat__ORGANIZATION_TYPE_Restaurant,0.0001148845884640988
cat__ORGANIZATION_TYPE_Security Ministries,0.00010312622234742154
cat__ORGANIZATION_TYPE_Bank,8.721294098219438e-05
num__LIVE_REGION_NOT_WORK_REGION,8.35216163217216e-05
cat__ORGANIZATION_TYPE_Trade: type 1,8.284411581714454e-05
num__FLAG_DOCUMENT_9,8.188881497487133e-05
cat__WALLSMATERIAL_MODE_Monolithic,7.616756425752485e-05
cat__ORGANIZATION_TYPE_Business Entity Type 1,7.250907119656064e-05
cat__OCCUPATION_TYPE_Waiters/barmen staff,7.023508405451512e-05
cat__OCCUPATION_TYPE_Private service staff,6.838914035952488e-05
cat__WALLSMATERIAL_MODE_Block,6.704976020040253e-05
cat__ORGANIZATION_TYPE_Cleaning,6.483232461287483e-05
cat__ORGANIZATION_TYPE_Transport: type 4,5.689995520204949e-05
cat__NAME_TYPE_SUITE_Other_A,5.5143420728022046e-05
cat__NAME_INCOME_TYPE_Unemployed,4.7831113029047774e-05
cat__NAME_HOUSING_TYPE_Co-op apartment,4.298147467127354e-05
cat__WALLSMATERIAL_MODE_Others,4.08826722865904e-05
cat__ORGANIZATION_TYPE_Agriculture,4.0609650575959204e-05
cat__ORGANIZATION_TYPE_Postal,4.0297725039189044e-05
cat__ORGANIZATION_TYPE_Culture,3.7099167276900066e-05
cat__FONDKAPREMONT_MODE_reg oper spec account,3.1780057574995096e-05
